date,factor,quantile,forward_return
2022-11-25,momentum_20d,4,0.016501126498883027
2022-11-25,momentum_20d,5,0.003739799458671735
2022-12-23,momentum_20d,1,0.1178972605578239
2022-12-23,momentum_20d,2,0.10216769746129888
2022-12-23,momentum_20d,3,0.086050405876836
2022-12-23,momentum_20d,4,0.1504054203780952
2022-12-23,momentum_20d,5,0.0645601702507265
2023-01-30,momentum_20d,1,-0.007572300846584794
2023-01-30,momentum_20d,2,-0.004984399021082635
2023-01-30,momentum_20d,3,0.016324958113965237
2023-01-30,momentum_20d,4,-0.01728387761760896
2023-01-30,momentum_20d,5,-0.053657420514986606
2023-02-27,momentum_20d,1,-0.025413684226620277
2023-02-27,momentum_20d,2,-0.016991750048852797
2023-02-27,momentum_20d,3,0.026614884505659304
2023-02-27,momentum_20d,4,0.0015871552664673493
2023-02-27,momentum_20d,5,0.03899041034939076
2023-03-27,momentum_20d,1,-0.070270228425321
2023-03-27,momentum_20d,2,-0.04050435954770027
2023-03-27,momentum_20d,3,-0.026217126136368292
2023-03-27,momentum_20d,4,0.020637430133115055
2023-03-27,momentum_20d,5,0.025600957974472392
2023-04-25,momentum_20d,1,-0.027518947795894533
2023-04-25,momentum_20d,2,-0.013959438767654403
2023-04-25,momentum_20d,3,-0.011154269997477994
2023-04-25,momentum_20d,4,-0.0232247853507783
2023-04-25,momentum_20d,5,-0.04756152232723978
2023-05-26,momentum_20d,1,0.03508737004383512
2023-05-26,momentum_20d,2,0.020965215705289152
2023-05-26,momentum_20d,3,-0.004770704225624541
2023-05-26,momentum_20d,4,-0.024997745594969752
2023-05-26,momentum_20d,5,0.00401702924683498
2023-06-27,momentum_20d,1,0.030551389148109728
2023-06-27,momentum_20d,2,0.05370046102196545
2023-06-27,momentum_20d,3,0.018492356052885527
2023-06-27,momentum_20d,4,0.03894057459493414
2023-06-27,momentum_20d,5,0.00016076046705995278
2023-07-25,momentum_20d,1,-0.06892953191585356
2023-07-25,momentum_20d,2,-0.034814099884565124
2023-07-25,momentum_20d,3,-0.04106978303607913
2023-07-25,momentum_20d,4,-0.02937093668982811
2023-07-25,momentum_20d,5,-0.028685291707756227
2023-08-22,momentum_20d,1,-0.02660931052663518
2023-08-22,momentum_20d,2,-0.020616940815716602
2023-08-22,momentum_20d,3,-0.0042368039542898025
2023-08-22,momentum_20d,4,0.0008062777913340886
2023-08-22,momentum_20d,5,-0.0301481788798862
2023-09-19,momentum_20d,1,-0.07944376831051067
2023-09-19,momentum_20d,2,-0.06000834077946045
2023-09-19,momentum_20d,3,-0.05507962614678656
2023-09-19,momentum_20d,4,-0.03583034801772831
2023-09-19,momentum_20d,5,-0.046077683265661994
2023-10-25,momentum_20d,1,0.03821390981174313
2023-10-25,momentum_20d,2,0.006114835348061163
2023-10-25,momentum_20d,3,0.008399002711035847
2023-10-25,momentum_20d,4,0.02289916291096427
2023-10-25,momentum_20d,5,0.0062453358879930995
2023-11-22,momentum_20d,1,-0.08193084131680077
2023-11-22,momentum_20d,2,-0.05401705257170359
2023-11-22,momentum_20d,3,-0.08642167272202676
2023-11-22,momentum_20d,4,-0.07778012382921863
2023-11-22,momentum_20d,5,-0.05314533126599336
2023-12-20,momentum_20d,1,0.016467975281002273
2023-12-20,momentum_20d,2,-0.00386898228975702
2023-12-20,momentum_20d,3,-0.010953872298417454
2023-12-20,momentum_20d,4,-0.023598870578638603
2023-12-20,momentum_20d,5,-0.012832620643029478
2024-01-18,momentum_20d,1,0.01332928595526257
2024-01-18,momentum_20d,2,0.06272916766265907
2024-01-18,momentum_20d,3,0.0815240572766345
2024-01-18,momentum_20d,4,0.059078534208267815
2024-01-18,momentum_20d,5,0.029894519736813046
2024-02-23,momentum_20d,1,0.0402879933852384
2024-02-23,momentum_20d,2,0.046181890835782315
2024-02-23,momentum_20d,3,0.014459835553684929
2024-02-23,momentum_20d,4,0.004630092802738426
2024-02-23,momentum_20d,5,0.002097826323838157
2024-03-22,momentum_20d,1,-0.010485522661758999
2024-03-22,momentum_20d,2,-0.021830155283185358
2024-03-22,momentum_20d,3,-0.007033369363753644
2024-03-22,momentum_20d,4,-0.02879357409846561
2024-03-22,momentum_20d,5,-0.053497914510517844
2024-04-23,momentum_20d,1,0.07509023474428006
2024-04-23,momentum_20d,2,0.03227907564651787
2024-04-23,momentum_20d,3,0.018628494305635766
2024-04-23,momentum_20d,4,0.025661867153068445
2024-04-23,momentum_20d,5,0.03435483874315583
2024-05-24,momentum_20d,1,-0.038387793799500844
2024-05-24,momentum_20d,2,-0.027423644632040278
2024-05-24,momentum_20d,3,-0.0471118209827236
2024-05-24,momentum_20d,4,-0.017984836160293408
2024-05-24,momentum_20d,5,-0.044398557387064684
2024-06-24,momentum_20d,1,-0.008266431747883607
2024-06-24,momentum_20d,2,0.005706702330452371
2024-06-24,momentum_20d,3,0.019271239419031642
2024-06-24,momentum_20d,4,0.020389206425501214
2024-06-24,momentum_20d,5,0.04709635031979224
2024-07-22,momentum_20d,1,-0.05266730940387568
2024-07-22,momentum_20d,2,-0.05496015176593933
2024-07-22,momentum_20d,3,-0.04179047945476684
2024-07-22,momentum_20d,4,-0.0264633937648393
2024-07-22,momentum_20d,5,-0.04956411879363727
2024-08-19,momentum_20d,1,-0.06443701779686258
2024-08-19,momentum_20d,2,-0.06089199135550854
2024-08-19,momentum_20d,3,-0.054508322141085475
2024-08-19,momentum_20d,4,-0.03664881516079922
2024-08-19,momentum_20d,5,-0.06343311877473116
2024-09-18,momentum_20d,1,0.33570288753587385
2024-09-18,momentum_20d,2,0.2827403301023731
2024-09-18,momentum_20d,3,0.2555100568195078
2024-09-18,momentum_20d,4,0.30342927355370997
2024-09-18,momentum_20d,5,0.21950549612565406
2024-10-23,momentum_20d,1,-0.00448828388233037
2024-10-23,momentum_20d,2,-0.0015581812176054311
2024-10-23,momentum_20d,3,0.018390247594534743
2024-10-23,momentum_20d,4,0.034236364290436486
2024-10-23,momentum_20d,5,0.04916404826694603
2024-11-20,momentum_20d,1,-0.021450927257081132
2024-11-20,momentum_20d,2,-0.0038837734098773873
2024-11-20,momentum_20d,3,-0.007391889116080837
2024-11-20,momentum_20d,4,-0.01456394423327265
2024-11-20,momentum_20d,5,-0.04173039235352954
2024-12-18,momentum_20d,1,-0.04326364067317888
2024-12-18,momentum_20d,2,-0.0282542548464583
2024-12-18,momentum_20d,3,-0.07216556376749118
2024-12-18,momentum_20d,4,-0.04552625855249792
2024-12-18,momentum_20d,5,-0.018567911560389023
2025-01-16,momentum_20d,1,0.08400917818867326
2025-01-16,momentum_20d,2,0.03247524596397933
2025-01-16,momentum_20d,3,0.036230736296045035
2025-01-16,momentum_20d,4,0.03211297862766489
2025-01-16,momentum_20d,5,0.053950238835978125
2025-02-21,momentum_20d,1,0.03409085388132403
2025-02-21,momentum_20d,2,0.014742275075605117
2025-02-21,momentum_20d,3,0.0007700190517657821
2025-02-21,momentum_20d,4,-0.02861007879465316
2025-02-21,momentum_20d,5,-0.07886530551891045
2025-03-21,momentum_20d,1,-0.08076592123995256
2025-03-21,momentum_20d,2,-0.03392306627370776
2025-03-21,momentum_20d,3,-0.016987619026563733
2025-03-21,momentum_20d,4,-0.029102258242228864
2025-03-21,momentum_20d,5,-0.027589532021944696
2025-04-21,momentum_20d,1,0.050243944394384954
2025-04-21,momentum_20d,2,0.033870100241048515
2025-04-21,momentum_20d,3,0.003527816013944912
2025-04-21,momentum_20d,4,0.020287813079101755
2025-04-21,momentum_20d,5,0.0033346940495585027
2025-05-22,momentum_20d,1,-0.027510245452205633
2025-05-22,momentum_20d,2,-0.010984777354245752
2025-05-22,momentum_20d,3,-0.010363667723305174
2025-05-22,momentum_20d,4,-0.0014606678930108067
2025-05-22,momentum_20d,5,0.014757506300108478
2025-06-20,momentum_20d,1,0.06360597001406838
2025-06-20,momentum_20d,2,0.0649485236413014
2025-06-20,momentum_20d,3,0.05935083988287096
2025-06-20,momentum_20d,4,0.06238251865099728
2025-06-20,momentum_20d,5,0.09562879630846158
2025-07-18,momentum_20d,1,0.003929952744972819
2025-07-18,momentum_20d,2,0.02837337031290027
2025-07-18,momentum_20d,3,0.04376366512161953
2025-07-18,momentum_20d,4,0.06513215479228773
2025-07-18,momentum_20d,5,0.07755638655997159
2025-08-15,momentum_20d,1,0.021081066329381316
2025-08-15,momentum_20d,2,0.058005565006707484
2025-08-15,momentum_20d,3,0.07993088898294239
2025-08-15,momentum_20d,4,0.0715106241759027
2025-08-15,momentum_20d,5,0.12125011824637838
2025-09-12,momentum_20d,1,0.0061236323165654895
2025-09-12,momentum_20d,2,0.0055474736394978165
2025-09-12,momentum_20d,3,-0.0067582987348644395
2025-09-12,momentum_20d,4,-0.00581619958997671
2025-09-12,momentum_20d,5,0.028753885920533535
2025-10-20,momentum_20d,1,9.930578010788153e-05
2025-10-20,momentum_20d,2,0.02703538888204961
2025-10-20,momentum_20d,3,0.02333035883215518
2025-10-20,momentum_20d,4,0.014139094658564633
2025-10-20,momentum_20d,5,0.01774902340625101
2025-11-17,momentum_20d,1,-0.004365734941916773
2025-11-17,momentum_20d,2,-0.016606911803215725
2025-11-17,momentum_20d,3,-0.02482330963523396
2025-11-17,momentum_20d,4,-0.024503547860082197
2025-11-17,momentum_20d,5,-0.05381286121456209
2025-12-15,momentum_20d,1,0.07838787384934727
2025-12-15,momentum_20d,2,0.07582830009656757
2025-12-15,momentum_20d,3,0.050565687875036874
2025-12-15,momentum_20d,4,0.024180391917595884
2025-12-15,momentum_20d,5,0.09586519878359243
2026-01-14,momentum_20d,1,0.0006401620018624712
2026-01-14,momentum_20d,2,-0.01813520021209336
2026-01-14,momentum_20d,3,0.02163912128535934
2026-01-14,momentum_20d,4,-0.0031553838925875615
2026-01-14,momentum_20d,5,0.02092642590112455
2026-02-11,momentum_20d,1,-0.05455602241768066
2026-02-11,momentum_20d,2,-0.02271925411636774
2026-02-11,momentum_20d,3,-0.022671523247062807
2026-02-11,momentum_20d,4,-0.030446156001750956
2026-02-11,momentum_20d,5,-0.015435596486354996
2026-03-19,momentum_20d,1,0.009221588031343346
2026-03-19,momentum_20d,2,-0.0050522140964141555
2026-03-19,momentum_20d,3,0.005631573625126346
2026-03-19,momentum_20d,4,0.0003527188024028423
2026-03-19,momentum_20d,5,0.006097398607335758
2026-04-17,momentum_20d,1,-0.002725820462008947
2026-04-17,momentum_20d,2,-0.01987336880274162
2026-04-17,momentum_20d,3,-0.0017614368966559029
2026-04-17,momentum_20d,4,0.02160311164153505
2026-04-17,momentum_20d,5,0.056335806390309794
2026-05-20,momentum_20d,1,-0.07400306794505826
2026-05-20,momentum_20d,2,-0.04603032323873946
2026-05-20,momentum_20d,3,-0.022090535661050247
2026-05-20,momentum_20d,4,-0.021510927217577566
2026-05-20,momentum_20d,5,0.03359722428985915
2021-03-05,reversal_5d,1,-0.05083711913018821
2021-03-05,reversal_5d,2,-0.015709284700389056
2021-03-05,reversal_5d,3,-0.01020889235549269
2021-03-05,reversal_5d,4,-0.03375614138663819
2021-03-05,reversal_5d,5,-0.0015870277268365152
2021-04-02,reversal_5d,1,0.0006756023800103761
2021-04-02,reversal_5d,2,0.037191535286552634
2021-04-02,reversal_5d,3,-0.02656127322707153
2021-04-02,reversal_5d,4,-0.04838158720904508
2021-04-02,reversal_5d,5,-0.04084397240049317
2021-05-06,reversal_5d,1,0.04003495801919435
2021-05-06,reversal_5d,2,0.024340444865572613
2021-05-06,reversal_5d,3,0.028572628842989233
2021-05-06,reversal_5d,4,0.025671411632328788
2021-05-06,reversal_5d,5,0.05314497590165783
2021-06-03,reversal_5d,1,0.0054320258863759475
2021-06-03,reversal_5d,2,-0.029239292397559978
2021-06-03,reversal_5d,3,0.012500930218431626
2021-06-03,reversal_5d,4,-0.020216153141863986
2021-06-03,reversal_5d,5,0.01477337433563131
2021-07-02,reversal_5d,1,-0.004258219820818088
2021-07-02,reversal_5d,2,-0.06387809449185283
2021-07-02,reversal_5d,3,-0.03900888611347649
2021-07-02,reversal_5d,4,-0.006092599324996153
2021-07-02,reversal_5d,5,-0.019991867929415822
2021-07-30,reversal_5d,1,-0.016223991071050475
2021-07-30,reversal_5d,2,0.014815879301904197
2021-07-30,reversal_5d,3,0.041782070042913164
2021-07-30,reversal_5d,4,0.05242269499488878
2021-07-30,reversal_5d,5,0.012513959943473084
2021-08-27,reversal_5d,1,0.013365928448781476
2021-08-27,reversal_5d,2,0.04856629236908557
2021-08-27,reversal_5d,3,0.02866104896885328
2021-08-27,reversal_5d,4,0.02795329530658899
2021-08-27,reversal_5d,5,0.015073528293432078
2021-09-28,reversal_5d,1,-0.03496862046228099
2021-09-28,reversal_5d,2,0.007839616012703169
2021-09-28,reversal_5d,3,-0.015794224291853134
2021-09-28,reversal_5d,4,-0.008228525925193393
2021-09-28,reversal_5d,5,-0.05569983245095176
2021-11-02,reversal_5d,1,-0.008680166338407366
2021-11-02,reversal_5d,2,0.005227909891601186
2021-11-02,reversal_5d,3,0.015281071912095056
2021-11-02,reversal_5d,4,-0.0019374661405335317
2021-11-02,reversal_5d,5,0.030572267094077284
2021-11-30,reversal_5d,1,-0.006326202813726508
2021-11-30,reversal_5d,2,0.04222110885615117
2021-11-30,reversal_5d,3,0.03958257819275612
