factor,mean_rank_ic,rank_ic_std,count,ic_ir,positive_rate
momentum_20d,-0.013914535488360934,0.17437524557331582,64,-0.07979650691021156,0.515625
reversal_5d,-0.014148697749428465,0.18978979665478765,64,-0.074549306647732,0.453125
turnover_proxy_20d,-0.03967980629783908,0.1569964312345679,64,-0.2527433648383612,0.421875
volatility_20d,-0.07378061543302318,0.23259033993563172,64,-0.3172127245415335,0.328125
