date,factor,rank_ic
2021-03-05,momentum_20d,-0.10177139106325146
2021-04-02,momentum_20d,0.11749739634920153
2021-05-06,momentum_20d,-0.07317328189850253
2021-06-03,momentum_20d,0.02949247791877411
2021-07-02,momentum_20d,0.25275711258914196
2021-07-30,momentum_20d,0.06332490053823493
2021-08-27,momentum_20d,0.07221997218901785
2021-09-28,momentum_20d,-0.34038465484205827
2021-11-02,momentum_20d,-0.23109861911768334
2021-11-30,momentum_20d,-0.13167826614856776
2021-12-28,momentum_20d,0.058404417117609506
2022-01-26,momentum_20d,0.060251746101405775
2022-03-02,momentum_20d,0.09531591746596317
2022-03-30,momentum_20d,0.06932702333449871
2022-04-29,momentum_20d,-0.27809642329359213
2022-06-01,momentum_20d,0.031097824733560136
2022-06-30,momentum_20d,-0.3200580717073335
2022-07-28,momentum_20d,0.10011687984466297
2022-08-25,momentum_20d,0.044340708934833495
2022-09-23,momentum_20d,-0.03679841295996789
2022-10-28,momentum_20d,-0.3380760632372335
2022-11-25,momentum_20d,0.1713797770191768
2022-12-23,momentum_20d,-0.1659967922839468
2023-01-30,momentum_20d,-0.2818660627365315
2023-02-27,momentum_20d,0.1465875426314954
2023-03-27,momentum_20d,0.3254901084734006
2023-04-25,momentum_20d,-0.10204435831999802
2023-05-26,momentum_20d,-0.15671551906132292
2023-06-27,momentum_20d,-0.16415678752820115
2023-07-25,momentum_20d,0.19764817159904094
2023-08-22,momentum_20d,0.06572762649892001
2023-09-19,momentum_20d,0.16591932436529128
2023-10-25,momentum_20d,-0.10067534383868193
2023-11-22,momentum_20d,0.06441470647931422
2023-12-20,momentum_20d,-0.0669361533121766
2024-01-18,momentum_20d,0.09252562132462838
2024-02-23,momentum_20d,-0.21863101584082412
2024-03-22,momentum_20d,-0.12593183140664818
2024-04-23,momentum_20d,-0.09556618357606073
2024-05-24,momentum_20d,-0.036089650459321325
2024-06-24,momentum_20d,0.23903108153254238
2024-07-22,momentum_20d,0.08385187372020135
2024-08-19,momentum_20d,0.022252247247191635
2024-09-18,momentum_20d,-0.13491318928319765
2024-10-23,momentum_20d,0.1612841969618869
2024-11-20,momentum_20d,-0.08854473535084019
2024-12-18,momentum_20d,0.06339472989726107
2025-01-16,momentum_20d,-0.1723521202644969
2025-02-21,momentum_20d,-0.570087570769003
2025-03-21,momentum_20d,0.17618663996568873
2025-04-21,momentum_20d,-0.14266339999492722
2025-05-22,momentum_20d,0.1579497613968137
2025-06-20,momentum_20d,0.0009496131358170977
2025-07-18,momentum_20d,0.33276146889687763
2025-08-15,momentum_20d,0.18967081026216898
2025-09-12,momentum_20d,-0.02154488879724243
2025-10-20,momentum_20d,-0.023201411907973556
2025-11-17,momentum_20d,-0.17452769043677868
2025-12-15,momentum_20d,-0.11040033726708462
2026-01-14,momentum_20d,-0.022168109916019838
2026-02-11,momentum_20d,0.07952705223200753
2026-03-19,momentum_20d,-0.08835084331173099
2026-04-17,momentum_20d,0.07325614386614766
2026-05-20,momentum_20d,0.22001403405332248
2021-03-05,reversal_5d,0.08268146070658211
2021-04-02,reversal_5d,-0.26287165178517136
2021-05-06,reversal_5d,0.06953611736178981
2021-06-03,reversal_5d,-0.024881684381253533
2021-07-02,reversal_5d,0.07251523088145606
2021-07-30,reversal_5d,0.13390415416305007
2021-08-27,reversal_5d,0.07179556820207036
2021-09-28,reversal_5d,-0.08593484148949831
2021-11-02,reversal_5d,0.16978281469648088
2021-11-30,reversal_5d,0.23810761656854765
2021-12-28,reversal_5d,0.12996465145895827
2022-01-26,reversal_5d,-0.0646188102770598
2022-03-02,reversal_5d,-0.16322809848432585
2022-03-30,reversal_5d,-0.10732474389811551
2022-04-29,reversal_5d,-0.1291311338250487
2022-06-01,reversal_5d,-0.1366345071373929
2022-06-30,reversal_5d,0.38702194492336806
2022-07-28,reversal_5d,-0.14586168615156572
2022-08-25,reversal_5d,-0.3374184266550781
2022-09-23,reversal_5d,0.12032903637713116
2022-10-28,reversal_5d,0.277151360125155
2022-11-25,reversal_5d,0.2121148281977093
2022-12-23,reversal_5d,0.17666739364353157
2023-01-30,reversal_5d,0.09705402311486346
2023-02-27,reversal_5d,0.08224768729897278
2023-03-27,reversal_5d,0.32158664118851876
2023-04-25,reversal_5d,0.1302006301184826
2023-05-26,reversal_5d,0.017705416038051272
2023-06-27,reversal_5d,0.22016278812583834
2023-07-25,reversal_5d,-0.2977502727534522
2023-08-22,reversal_5d,-0.22772674045025437
2023-09-19,reversal_5d,-0.1573650169763954
2023-10-25,reversal_5d,0.0825946876192404
2023-11-22,reversal_5d,-0.2817582171478849
2023-12-20,reversal_5d,-0.3419365776545644
